Company,Sector,Quarter,AI Mentions,Total Segments,AI Intensity %,Top Category,Who Brought It Up,Quantified Impact,Best Quote,Speaker
MMM,Industrial Conglomerates,2023Q1,0,92,0.0,,,No,,
MMM,Industrial Conglomerates,2023Q2,0,51,0.0,,,No,,
MMM,Industrial Conglomerates,2023Q3,0,56,0.0,,,No,,
MMM,Industrial Conglomerates,2023Q4,0,36,0.0,,,No,,
MMM,Industrial Conglomerates,2024Q1,0,84,0.0,,,No,,
MMM,Industrial Conglomerates,2025Q4,1,65,1.5,AI-Native Product,Executive,Yes,"We are leveraging Kaizen events, visual inspection systems, automation solutions, and AI-enabled models to optimize changeovers to improve quality, with a target of 5.4% cost of quality in 2026 and less than 4% over time.",Bill Brown
AOS,Building Products,2023Q1,0,80,0.0,,,No,,
AOS,Building Products,2023Q2,0,49,0.0,,,No,,
AOS,Building Products,2023Q3,0,50,0.0,,,No,,
AOS,Building Products,2023Q4,1,71,1.4,Uncategorized,Analyst,No,I realize AI link is still pretty new.,David MacGregor
AOS,Building Products,2025Q3,1,64,1.6,Internal Automation,Executive,Yes,"In his previous roles, Chris led transformational efforts to leverage enterprise software solutions or most recently worked on the forefront of generative AI solutions.",Stephen Shafer
AOS,Building Products,2025Q4,0,65,0.0,,,No,,
ABT,Health Care Equipment,2023Q1,0,46,0.0,,,No,,
ABT,Health Care Equipment,2023Q2,1,23,4.3,AI-Enhanced Feature,Executive,No,"Considering the advancements in AI, we see tremendous opportunities.",Robert Ford
ABT,Health Care Equipment,2023Q3,0,39,0.0,,,No,,
ABT,Health Care Equipment,2025Q2,0,43,0.0,,,No,,
ABT,Health Care Equipment,2025Q3,1,49,2.0,AI-Native Product,Executive,Yes,"This quarter, we actually bought a an AI powered, imaging, software company in Europe, that specialize, in interventional cardio, pre procedure planning.",Robert Ford
ABT,Health Care Equipment,2025Q4,1,55,1.8,AI-Enhanced Feature,Executive,Yes,"We acquired a company called Lara Lab, which is an AI-powered imaging interventional cardiology company that's we're integrating that into our product offerings now for pre-procedure planning.",Robert Ford
ABBV,Biotechnology,2023Q1,0,60,0.0,,,No,,
ABBV,Biotechnology,2025Q1,1,65,1.5,Uncategorized,Analyst,No,"The team has applied machine learning to these data sets, spatial omics, and a variety of different techniques.",Roopal Thakkar
ABBV,Biotechnology,2025Q2,1,52,1.9,Uncategorized,Executive,No,It's vital for us to leverage our distribution capabilities while considering AI interactions and how these will integrate with both our emerging portfolio and existing brands.,Jeffrey Ryan Stewart
ABBV,Biotechnology,2025Q3,0,60,0.0,,,No,,
ACN,IT Consulting & Other Services,2023Q1,2,50,4.0,AI Infrastructure,Executive,Yes,"We believe that the current macro environment is making it even clearer to clients that they need to change more, not less, and that two of the five key forces of change that we have identified for the next decade: the need for total enterprise reinvention enabled by technology, data, and AI; and th",Julie Sweet
ACN,IT Consulting & Other Services,2024Q4,10,57,17.5,Uncategorized,Both (6E/4A),Yes,"For the full fiscal year, we had $3 billion in new GenAI bookings, including $1 billion in Q4, and for the full fiscal year, we had nearly $900 million in revenue.",Julie Sweet
ACN,IT Consulting & Other Services,2025Q1,9,69,13.0,Uncategorized,Both (7E/2A),Yes,We had another milestone quarter in GenAI with $1.2 billion in bookings and approximately $500 million in revenue.,Julie Sweet
ACN,IT Consulting & Other Services,2025Q2,6,49,12.2,Internal Automation,Both (5E/1A),Yes,We had another milestone quarter in Gen AI with $1.4 billion in new bookings and approximately $600 million in revenue.,Julie Sweet
ACN,IT Consulting & Other Services,2025Q3,11,49,22.4,Internal Automation,Both (9E/2A),Yes,We are a leader in GenAI with another milestone quarter of $1.5 billion in bookings and over $700 million in revenues bringing our Q3 year-to-date GenAI bookings to a total of $4.1 billion and revenue to $1.8 billion.,Julie T. Sweet
ACN,IT Consulting & Other Services,2025Q4,18,47,38.3,Uncategorized,Both (11E/7A),Yes,Our early and decisive decision in FY23 to invest significantly to become the leader in Gen AI with a $3 billion multi-year investment is clearly paying off as we capture this new area of spend for our clients.,Julie Sweet
ADBE,Application Software,2024Q4,14,44,31.8,AI Infrastructure,Both (13E/1A),Yes,We had several new milestones with our AI innovations enabling us to add more than $2 billion in digital media net new ARR and surpass $1 billion in the ending book of business for Adobe Experience Platform and native apps.,Shantanu Narayen
ADBE,Application Software,2025Q1,18,49,36.7,AI-Enhanced Feature,Both (13E/5A),Yes,"This strength is also reflected in our AI-first standalone and add-on products such as Acrobat AI Assistant, Firefly App and Services and GenStudio for Performance Marketing, which have already contributed greater than $125 million in business exiting Q1 fiscal 2025 and we expect this AI book of bus",Shantanu Narayen
ADBE,Application Software,2025Q2,16,34,47.1,AI-Enhanced Feature,Both (11E/5A),Yes,"While our AI-influenced ARR is already contributing billions of dollars, our AI book of business from AI products, such as Acrobat AI Assistant, Firefly app and services, and Gen Studio for performance marketing, is tracking ahead of the $250 million ending ARR target by the end of fiscal 2025.",Shantanu Narayen
ADBE,Application Software,2025Q3,22,44,50.0,Internal Automation,Both (16E/6A),Yes,"We're seeing continued adoption and momentum for Adobe Experience Platform AI assistant, with 70% of eligible AEP customers leveraging this functionality.",Shantanu Narayen
ADBE,Application Software,2025Q4,14,38,36.8,Internal Automation,Both (12E/2A),Yes,"In fiscal 2025, Adobe delivered significant AI-influenced and AI-first ending ARR, which accelerated through the year.",Shantanu Narayen
