Company,Sector,Quarter,Speaker,Title,Role,Categories,Quantified,Sentiment,Quote
MMM,Industrial Conglomerates,2025Q4,Bill Brown,Chairman and Chief Executive Officer,Executive,"AI-Native Product, Internal Automation",Yes,0.7,"We are leveraging Kaizen events, visual inspection systems, automation solutions, and AI-enabled models to optimize changeovers to improve quality, with a target of 5.4% cost of quality in 2026 and less than 4% over time."
AOS,Building Products,2023Q4,David MacGregor,Analyst,Analyst,Uncategorized,No,0.0,I realize AI link is still pretty new.
AOS,Building Products,2025Q3,Stephen Shafer,Chief Executive Officer,Executive,Internal Automation,Yes,0.7,"In his previous roles, Chris led transformational efforts to leverage enterprise software solutions or most recently worked on the forefront of generative AI solutions."
ABT,Health Care Equipment,2023Q2,Robert Ford,Chairman and CEO,Executive,AI-Enhanced Feature,No,0.7,"Considering the advancements in AI, we see tremendous opportunities."
ABT,Health Care Equipment,2025Q3,Robert Ford,Chairman and Chief Executive Officer,Executive,"AI-Native Product, AI Infrastructure",Yes,0.9,"This quarter, we actually bought a an AI powered, imaging, software company in Europe, that specialize, in interventional cardio, pre procedure planning."
ABT,Health Care Equipment,2025Q4,Robert Ford,Chairman and CEO,Executive,"AI-Enhanced Feature, AI Infrastructure",Yes,0.7,"We acquired a company called Lara Lab, which is an AI-powered imaging interventional cardiology company that's we're integrating that into our product offerings now for pre-procedure planning."
ABBV,Biotechnology,2025Q1,Roopal Thakkar,"Executive Vice President, Research and Development, Chief Scientific Officer",Analyst,Uncategorized,No,0.6,"The team has applied machine learning to these data sets, spatial omics, and a variety of different techniques."
ABBV,Biotechnology,2025Q2,Jeffrey Ryan Stewart,"Executive Vice President, Chief Commercial Officer",Executive,Uncategorized,No,0.5,It's vital for us to leverage our distribution capabilities while considering AI interactions and how these will integrate with both our emerging portfolio and existing brands.
ACN,IT Consulting & Other Services,2023Q1,Julie Sweet,CEO,Executive,"AI-Native Product, Internal Automation, AI Infrastructure, Risk/Regulatory",Yes,0.9,"We believe that the current macro environment is making it even clearer to clients that they need to change more, not less, and that two of the five key forces of change that we have identified for the next decade: the need for total enterprise reinvention enabled by technology, data, and AI; and th"
ACN,IT Consulting & Other Services,2023Q1,Julie Sweet,CEO,Executive,AI Infrastructure,No,0.7,"Since the pandemic began, we've focused on building scale in markets around cloud, data, and AI because they're critical to building the digital core."
ACN,IT Consulting & Other Services,2024Q4,Julie Sweet,Chair and Chief Executive Officer,Executive,"AI-Native Product, AI Infrastructure",Yes,0.9,"For the full fiscal year, we had $3 billion in new GenAI bookings, including $1 billion in Q4, and for the full fiscal year, we had nearly $900 million in revenue."
ACN,IT Consulting & Other Services,2024Q4,Julie Sweet,Chair and Chief Executive Officer,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.9,"We are implementing and managing a scalable platform powered by GenAI, enabling the agency to act on evolving cyber threats up to 60% quicker than with traditional technologies, including detection response and containment models."
ACN,IT Consulting & Other Services,2024Q4,Bryan Keane,Analyst,Analyst,Uncategorized,Yes,0.2,I just want to ask about GenAI.
ACN,IT Consulting & Other Services,2024Q4,Julie Sweet,Chair and Chief Executive Officer,Executive,Vague/Buzzword,Yes,0.4,"We're going into the year expecting another healthy increase in our bookings and revenue from that; also, that data will continue to become a bigger part of the building out of the digital core because one of the biggest limitations on using GenAI today is that our client needs data, and they have a"
ACN,IT Consulting & Other Services,2024Q4,Dan Dolev,Analyst,Analyst,Uncategorized,No,0.2,Two questions on GenAI.
ACN,IT Consulting & Other Services,2024Q4,Julie Sweet,Chair and Chief Executive Officer,Executive,Uncategorized,No,0.3,But what we are seeing is the continued trend of trying to save money on IT to free up the spending on areas of GenAI.
ACN,IT Consulting & Other Services,2024Q4,Dan Dolev,Analyst,Analyst,AI-Native Product,No,0.3,"Can you touch on the GenAI services margin, how it stands versus your traditional business?"
ACN,IT Consulting & Other Services,2024Q4,Julie Sweet,Chair and Chief Executive Officer,Executive,Uncategorized,No,0.4,"GenAI is still a small part of our business, and I wouldn't really think about it as having a particularly different margin profile at this time."
ACN,IT Consulting & Other Services,2024Q4,Bryan Bergin,Analyst,Analyst,Internal Automation,No,0.2,"On GenAI, can you give us a sense of the size of some of the largest individual programs have reached?"
ACN,IT Consulting & Other Services,2024Q4,Julie Sweet,Chair and Chief Executive Officer,Executive,Internal Automation,Yes,0.4,"But the deals in GenAI that were on average kind of sub-$1 million, you now have some that are above $10 million, that's still on the smaller end as we move into production and scale."
ACN,IT Consulting & Other Services,2025Q1,Julie Sweet,Chair and Chief Executive Officer,Executive,Uncategorized,Yes,0.9,We had another milestone quarter in GenAI with $1.2 billion in bookings and approximately $500 million in revenue.
ACN,IT Consulting & Other Services,2025Q1,Julie Sweet,Chair and Chief Executive Officer,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure, Risk/Regulatory",Yes,0.9,"GenAI continues to be a catalyst for reinvention across the enterprise and building out the data foundation necessary to capitalize on AI, as an increasing part of that growth."
ACN,IT Consulting & Other Services,2025Q1,Julie Sweet,Chair and Chief Executive Officer,Executive,AI Infrastructure,No,0.8,"Our work spans important agencies, and we believe we are exceptionally well positioned to support the federal government in its mission to ensure security, assist citizens, and enhance efficiencies, particularly regarding cloud technology, data, and AI."
ACN,IT Consulting & Other Services,2025Q1,Julie Sweet,Chair and Chief Executive Officer,Executive,Uncategorized,No,0.5,"We observe strong interest in Banking & Capital Markets, particularly concerning areas like GenAI, but there is still a lot to consider about future interest rate movements."
ACN,IT Consulting & Other Services,2025Q1,Darrin Peller,Analyst,Analyst,Uncategorized,No,0.5,"Additionally, could you share any insights on your discussions regarding AI for next year?"
ACN,IT Consulting & Other Services,2025Q1,Julie Sweet,Chair and Chief Executive Officer,Executive,AI Infrastructure,No,0.6,"Regarding AI, in my discussions with around 30 CEOs over the last two months, I've noticed a strong interest in AI, though clients are at very different stages."
ACN,IT Consulting & Other Services,2025Q1,Jim Schneider,Analyst,Analyst,Uncategorized,No,0.4,"And then with respect to the AI work, you talked about some of the context of the client conversations you're having."
ACN,IT Consulting & Other Services,2025Q1,Julie Sweet,Chair and Chief Executive Officer,Executive,"AI-Native Product, AI Infrastructure",No,0.6,"Consequently, we are observing an acceleration in the data initiatives, which are crucial for leveraging GenAI."
ACN,IT Consulting & Other Services,2025Q1,Julie Sweet,Chair and Chief Executive Officer,Executive,Uncategorized,No,0.6,"We offer our clients experienced talent, full-stack engineers, and innovative tools like GenAI and a platform called GenWizard."
ACN,IT Consulting & Other Services,2025Q2,Julie Sweet,Chair and Chief Executive Officer,Executive,"Internal Automation, Risk/Regulatory",Yes,0.7,We had another milestone quarter in Gen AI with $1.4 billion in new bookings and approximately $600 million in revenue.
ACN,IT Consulting & Other Services,2025Q2,Julie Sweet,Chair and Chief Executive Officer,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure, Risk/Regulatory",Yes,0.8,"Our unique partnership model uses our library of AI and Gen AI assets to quickly deliver productivity, with the potential of generating over $0.5 billion in value to self-fund their reinvention."
ACN,IT Consulting & Other Services,2025Q2,Julie Sweet,Chair and Chief Executive Officer,Executive,Uncategorized,Yes,0.6,"Our efforts there have included multiple acquisitions, and we are harnessing agility along with data and AI to drive the transformation happening in the UK."
ACN,IT Consulting & Other Services,2025Q2,Keith Bachman,Analyst,Analyst,Internal Automation,No,0.2,"On the first one, one of the previous questions was asking about AI, more from the demand side or revenue side."
ACN,IT Consulting & Other Services,2025Q2,Julie Sweet,Chair and Chief Executive Officer,Executive,"Internal Automation, AI Infrastructure",No,0.6,"In response to the first question, what we’ve observed with Gen AI mirrors our experiences with new technologies in the past."
ACN,IT Consulting & Other Services,2025Q2,Julie Sweet,Chair and Chief Executive Officer,Executive,Uncategorized,Yes,0.6,"Additionally, our strong ecosystem relationships and leadership in Gen AI and technology are crucial to our resilient business model."
ACN,IT Consulting & Other Services,2025Q3,Julie T. Sweet,CEO,Executive,AI Infrastructure,Yes,0.9,We are a leader in GenAI with another milestone quarter of $1.5 billion in bookings and over $700 million in revenues bringing our Q3 year-to-date GenAI bookings to a total of $4.1 billion and revenue to $1.8 billion.
ACN,IT Consulting & Other Services,2025Q3,Julie T. Sweet,CEO,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure, Risk/Regulatory",Yes,0.8,Gen AI has been a catalyst for reinvention because the power of Gen AI has created the opportunity to meet challenges in new ways and is creating new opportunities to achieve even better results than any single technology in the Internet era and yet Gen AI alone is just a tool.
ACN,IT Consulting & Other Services,2025Q3,David Koning,Analyst,Analyst,Uncategorized,No,0.1,"And I guess my first question, Gen AI bookings remain very strong, but sequentially grew a little slower than in some previous quarters."
ACN,IT Consulting & Other Services,2025Q3,Julie T. Sweet,CEO,Executive,Uncategorized,No,0.6,"The Gen AI demand continues to be very, very strong."
ACN,IT Consulting & Other Services,2025Q3,Julie T. Sweet,CEO,Executive,Uncategorized,No,0.2,"In the realm of data and AI, we see great potential, and we have the capability to develop those skills in-house, even if the latest expertise is scarce among the companies we are acquiring."
ACN,IT Consulting & Other Services,2025Q3,Julie T. Sweet,CEO,Executive,Vague/Buzzword,Yes,0.9,"As you sit here today, we all talk about the massive opportunity from AI."
ACN,IT Consulting & Other Services,2025Q3,Julie T. Sweet,CEO,Executive,AI Infrastructure,No,0.8,Leapfrog is this whole idea of AI: How can we be the first?
ACN,IT Consulting & Other Services,2025Q3,Julie T. Sweet,CEO,Executive,Internal Automation,No,0.3,"Although the focus has shifted primarily to AI, blockchain is still relevant in areas where it makes sense, like banking and industry-wide solutions, due to its importance for security."
ACN,IT Consulting & Other Services,2025Q3,Julie T. Sweet,CEO,Executive,Internal Automation,No,0.8,"We continue to see the themes that I've been talking about, both the cost of building the digital core and embedding AI really getting into everything, from both customer to deep into the industrial space, driving energy efficiency."
ACN,IT Consulting & Other Services,2025Q3,Jason Kupferberg,Analyst,Analyst,Uncategorized,Yes,0.1,Some other IT services companies have been saying that upwards of 20% or so of their code is now being written by AI.
